index,BoardMemberName,CompanyName,Source
0,Charlene Barshefsky,American Express Company,Bloomberg Research
1,Ursula Burns,American Express Company,Bloomberg Research
2,Kenneth Chenault,American Express Company,Bloomberg Research
3,Peter Chernin,American Express Company,Bloomberg Research
4,Anne Lauvergeon Ph.D.,American Express Company,Bloomberg Research
5,Michael Leavitt,American Express Company,Bloomberg Research
6,Theodore Leonsis,American Express Company,Bloomberg Research
7,Richard Levin Ph.D.,American Express Company,Bloomberg Research
8,Samuel Palmisano,American Express Company,Bloomberg Research
9,Daniel Vasella M.D.,American Express Company,Bloomberg Research
10,Robert Walter,American Express Company,Bloomberg Research
11,Ronald Williams,American Express Company,Bloomberg Research
12,Timothy Cook,Apple Inc.,Bloomberg Research
13,Albert Gore Jr.,Apple Inc.,Bloomberg Research
14,Robert Iger,Apple Inc.,Bloomberg Research
15,Andrea Jung,Apple Inc.,Bloomberg Research
16,Arthur Levinson Ph.D.,Apple Inc.,Bloomberg Research
17,Ronald Sugar Ph.D.,Apple Inc.,Bloomberg Research
18,Susan Wagner,Apple Inc.,Bloomberg Research
19,David Calhoun,Boeing Company (The),Bloomberg Research
20,Arthur Collins Jr.,Boeing Company (The),Bloomberg Research
21,Kenneth Duberstein,Boeing Company (The),Bloomberg Research
22,Yves Galland,Boeing Company (The),Bloomberg Research
23,"Edmund Giambastiani Jr., US Navy (retired)",Boeing Company (The),Bloomberg Research
24,Lawrence Kellner,Boeing Company (The),Bloomberg Research
25,Edward Liddy,Boeing Company (The),Bloomberg Research
26,W. McNerney Jr.,Boeing Company (The),Bloomberg Research
27,Susan Schwab Ph.D.,Boeing Company (The),Bloomberg Research
28,Ronald Williams,Boeing Company (The),Bloomberg Research
29,Mike Zafirovski,Boeing Company (The),Bloomberg Research
30,David Calhoun,Caterpillar,Bloomberg Research
31,Daniel Dickinson J.D.,Caterpillar,Bloomberg Research
32,Juan Gallardo,Caterpillar,Bloomberg Research
33,Jesse Greene Jr.,Caterpillar,Bloomberg Research
34,Jon Huntsman Jr.,Caterpillar,Bloomberg Research
35,Dennis Muilenburg,Caterpillar,Bloomberg Research
36,Douglas Oberhelman,Caterpillar,Bloomberg Research
37,William Osborn,Caterpillar,Bloomberg Research
38,Debra Reed,Caterpillar,Bloomberg Research
39,Edward Rust Jr.,Caterpillar,Bloomberg Research
40,Susan Schwab Ph.D.,Caterpillar,Bloomberg Research
41,Miles White,Caterpillar,Bloomberg Research
42,Alexander Cummings Jr.,Chevron Corporation,Bloomberg Research
43,Linnet Deily,Chevron Corporation,Bloomberg Research
44,Robert Denham,Chevron Corporation,Bloomberg Research
45,Alice Gast,Chevron Corporation,Bloomberg Research
46,Enrique Hernandez Jr.,Chevron Corporation,Bloomberg Research
47,Jon Huntsman Jr.,Chevron Corporation,Bloomberg Research
48,Charles Moorman IV,Chevron Corporation,Bloomberg Research
49,James Seutloadi,Chevron Corporation,Bloomberg Research
50,John Stumpf,Chevron Corporation,Bloomberg Research
51,Ronald Sugar Ph.D.,Chevron Corporation,Bloomberg Research
52,Inge Thulin,Chevron Corporation,Bloomberg Research
53,Carl Ware,Chevron Corporation,Bloomberg Research
54,John Watson,Chevron Corporation,Bloomberg Research
55,Carol Bartz Ph.D.,"Cisco Systems, Inc.",Bloomberg Research
56,M. Burns,"Cisco Systems, Inc.",Bloomberg Research
57,Michael Capellas,"Cisco Systems, Inc.",Bloomberg Research
58,John Chambers,"Cisco Systems, Inc.",Bloomberg Research
59,Owen Chan,"Cisco Systems, Inc.",Bloomberg Research
60,Brian Halla,"Cisco Systems, Inc.",Bloomberg Research
61,John Hennessy Ph.D.,"Cisco Systems, Inc.",Bloomberg Research
62,Kristina Johnson Ph.D.,"Cisco Systems, Inc.",Bloomberg Research
63,Roderick McGeary,"Cisco Systems, Inc.",Bloomberg Research
64,John Morgridge,"Cisco Systems, Inc.",Bloomberg Research
65,Charles Robbins,"Cisco Systems, Inc.",Bloomberg Research
66,Arun Sarin,"Cisco Systems, Inc.",Bloomberg Research
67,Phil Smith,"Cisco Systems, Inc.",Bloomberg Research
68,Steven West,"Cisco Systems, Inc.",Bloomberg Research
69,Marcelo de Andrade Ph.D.,E.I. du Pont de Nemours and Company,Bloomberg Research
70,Lamberto Andreotti,E.I. du Pont de Nemours and Company,Bloomberg Research
71,Edward Breen,E.I. du Pont de Nemours and Company,Bloomberg Research
72,Robert Brown,E.I. du Pont de Nemours and Company,Bloomberg Research
73,Jason Clay Ph.D.,E.I. du Pont de Nemours and Company,Bloomberg Research
74,Bertrand Collomb Ph.D.,E.I. du Pont de Nemours and Company,Bloomberg Research
75,Alexander Cutler,E.I. du Pont de Nemours and Company,Bloomberg Research
76,Edward Donnelly Jr.,E.I. du Pont de Nemours and Company,Bloomberg Research
